text	labels
No reply now after 10 day we visit answer was sorry application is missing . Can you fill the application again . we did and wait one week . today saying we cannot enter new application .	NOT
They do not know when they can give .	NOT
There is no one to give answer .	NOT
I am in Devela Road in Makola Noth.	NOT
I cannot give the phone no publicly.	NOT
Please reply I will give my no	NOT
We are the champion........	NOT
dear Zemlak.	NOT
I'm waiting for the fiber connection to be activated.	NOT
data cards sucks	OFF
Waiting ❤️	NOT
අංක3ක් හරි😏	NOT
Peredha 5 gb extra add kara.	NOT
Iye thawa 5k add wela thbba.	NOT
Agee lay nathuwe hitiye.	NOT
Next bill eka kohima eida kyala... 😋😋😋❤️❤️❤️	NOT
Thankyou..Batz	NOT
Fake	NOT
Rip Lebsack😂	OFF
✋ඉත්තෑව අයින් කරා	NOT
Supiri.....	NOT
Free reload awa..thankx	NOT
Vidiyo Play වෙන්නෙ නැනෙ.	NOT
ලෙබ්සැක් කියන්නෙ ලංකාවෙ ජරාම Connection එක කියන කට්ටිය මේකට ලයික් කරන්න🤮🖕	OFF
thank u Gerhold	NOT
අනේ signal නම් මෙලෝ රහක් නෑ..පට්ට slow	NOT
සුභ පතනවා බාටෙල් වෙත	NOT
නිවන් සුව ලැබේවා	NOT
සුපිරි මචෝ බට තුවක්කුව මතකයේ රැදේන සෙල්ලම.	NOT
link??	NOT
Amila Herath <3	NOT
Post your wishes at http://sm.Lebsack.lk/wish.	NOT
Get your friends to vote for your wish.	NOT
Most votes gives you a chance to meet #OurLions team at a special ceremony before they leave for the T20 World Cup!	NOT
wish you all the best..	NOT
4g network එකේදී internet use කරන්න බැනේ internet ගොඩක්ම slow	NOT
Hiru gilunath sanda gilunath mata kamak na	NOT
For me it's last one ...	NOT
That's the one most important with situation of team it had ...	NOT
Can you Check inbox please?	NOT
groot	NOT
Happy diwali	NOT
Lebsack එකට ගහන්න බෑ බන් බොලට.....	NOT
හා යකෝ 😂😂😂	NOT
sadaknam besa yanna tibuna hadana ahasata aduradee......	NOT
Mama aluthen 4G router ekak gatta double krala hambune ne, cmpln kra eth ne 😂😂😂 oyalage marketing dakala gatte 🙏🙏	NOT
Done 👍 #SayHello ❤	NOT
COD UPDATE කරපු නැති අයට!!	NOT
මෙන්න Gerhold 078 , 072 තියෙන අයට Free පැය 6ක් unlimited data..😘 🔰✔	NOT
මුලින්ම Click app එක playstore , apple app store එකෙන් download කරගන්න.. playstore Link -: https://play.google.com/store/apps/details?id=lk.Gibson.cloud.fwd.smpl apple store Link -: https://apple.co/3aTjTSq 🔰🔱	NOT
දැන් මේටික කරන්න පිලිවෙලට.	NOT
😌 click to register කියන එක දෙන්න.	NOT
ඔයාගෙ Gerhold 078 , 072 phone number එක දීලා next කරන්න.	NOT
දැන් සිම් එකට code එකක් එයි එක මෙකට දීලා register click කරන්න.	NOT
ද ඔබලා app එකට next වෙලා එන්න..	NOT
දැන් උඩ ඉරි තුන ක්ලික් කරල සයිඩ් මෙනු එකට ගිහින් invite frends කියන එකට ගිහින් පල්ලෙහාම තියන redeem invitation code කියන එක ඔබපන් ඉට පස්සෙ කෝඩ් එකක් ගහන්න ඒවි එතන මේ කෝඩ් එක වරධන්නෙ නැතුව ගහපන් 3jdj4y (මේ විදිහටම ගහපන් ) ඉට පස්සෙ එතන තියන ඉතලේ ඔබපම් .දැන් වැඩේ ගොඩ .	NOT
එතකොට එතන පහලින් unlimited 6 hour free කියල වැටෙයි . උබට කැමති වෙලාවක් එක ඔබල බයි කියන එක ඔබපන් ඉට පස්සෙ පැය හයක් අන්ලිමිටඩ් .	NOT
ඉක්මන් කරලා register වෙන්න	NOT
ඔයා ලාගේ නොමල් කෝල් ගන්න කෙමයක් හදන්නකෝ.ලොකු උව්වාක් .අපිට නොමල් කෝල් තමයි ඔනේ.ක්‍රිමයක් ඔනේ.එකටත් මේ වාගේ පැකේජ එක්ක හදුන්නලා දෙන්නකෝ.free call ගන්න ව්දියහ.	NOT
Watermelon = 7 Pineapple = 12 Orange = 6 ÷ 3 = 2 Answer =( 7) + 12% + 2₹ =පුක	OFF
Thama parana ekamai	NOT
Good 💗😃	NOT
Bartell i am really satisfied with your connections.	NOT
i get constant 60 MBPS speed every time.proud to have a network like this in SriLanka	NOT
Sri Lanka Zemlak PLC no free data has been added to my account so far 😒	NOT
Mona hari add ekak dakkama nikan diyan nikan diyan kiyala kagahana rataka mona issarahata yamakda ban 🤣	NOT
Waiting #Gerhold	NOT
අරන් ඕනී අය කියන්න අරන් දෙන්නම්	NOT
Hiiiii	NOT
4G bonus data use karanna bane	NOT
මුන් දැන් හෙන බොරුවක් කරන්නේ.	OFF
Youtube unlimited කියල 25gb ඉවර උනහම nomal data වලින් කපනව.	NOT
එත් එ 25Gb වත් hotspot කරලා යන්න බැ. දවස් 30 යනකන් අලුත් එකක් දාන්නත් බැ.	NOT
උන්ට කතාකරහම කියන එවට හිනාත් යනවා.	NOT
Yakuu.. wi fi walata nadda	NOT
තෙරුවන් සරනයි .	NOT
thanks Lebsack	NOT
I;m eayimg pes,iyd	NOT
Merry Christmas!	NOT
#nice🍊 #super🍌 #cute🍇 #top🍍 #osm🍅	NOT
රෑට වැල් බලන්න කියලා හිටියෙ. දැන් ඒකත් නෑ 😑💔	NOT
4g signal speed madi	NOT
bindu bindu thaaraka kadulu mal vile	NOT
Super song	NOT
Team Lebsack, Sponsored by Sri Lanka	NOT
Niyama connection eka	NOT
Oh please enough with ur offers.	NOT
We don't even get the amount of data that we pay for.	NOT
I doubt if you even give half the data Ur packages indicate. Worst service ever.	NOT
Wena package thiyanawatha	NOT
packag akata sama masakama data denawada	NOT
YouTube video resolution eka limit krlda thiyenne??	NOT
Saduu	NOT
May his soul Rest In Peace!!!!	NOT
Just pay with eZCash!	NOT
20 Countries #Lebsack	NOT
Need to know more information	NOT
Meet Max 100 GB package aka mn active karala MS Teams walin online lectures hitiya but Data kapila thibbe mg nomal Data package aken ay kelinma Ms Teams & Zoom wg awa use karaddi a Meet Max package aken data kepenne neththe???	NOT
අනිවාර්යයෙන්	NOT
chrome & safari	NOT
Think Like a ‘Tourist’ & Click like a ‘Tourist’ to WIN amazing Prizes!	NOT
Ela kollek	NOT
As confirmed by Lebsack agent, this facility is not for reload @ reload point....Lebsack foolish all the srilankan	OFF
සෝෂල් මීඩිය ෆ්‍රී යකෝ ☝️❤👌 තැන්ක්ස් එස් එල් ටී භොඛ්ඛ...😎	NOT
Mama 4g sim ekak online request kla tama labune nene	NOT
System error for me	NOT
Purple and red ..	NOT
ru 15 vitharak mak karannada mahaththayo me wage welawaka data ehema free denna oyalata hithenne nadda	NOT
Warun Amashan	NOT
Day Time Night Time wanchawa nawaththala dawaltai raatai apita eka package ekk denndaaa	OFF
Meke register wenne kohamada	NOT
ගියත් කරල බලන්න...🤔	NOT
Ramiru Dias Bellanvila.	NOT
Age 9 A4 paper lanterns	NOT
Yes we also wish.....	NOT
25 😍 #GerholdSriLanka 😍 😘	NOT
website එක හරියට හදල හිටියොත් නරකද -_-	NOT
Gibson nathnm me rate internet kiyala deyak ne	NOT
Lebsack signal apita ne	NOT
Bartell slow	NOT
ape rate welath wat aka wadi youtube anthimai	NOT
Gerhold hamadama api oba samagai💚💚💚👍☝	NOT
Jim Brown gonna check this out with a few mates in the Rugby community next weekend.	NOT
ඩේටා ටිකක් දීපන් යකෝ මේ වෙලාවෙහරි මහලොකුවට ඔව වෙනුවෙන්මයිලු රෙද්ද තමා තොපිට ඩේට ටිකක් දෙන්ඩ බැරිනම් හදිස්සි මෙවගෙ වෙලාවක ආය මොනාද කඩනව තොපේ සිම් හිටපියව්	OFF
You're forget your illegal billing?	NOT
mb 10 habu wenath vinadi pahk vithara yanawa 😭😭	NOT
Mata lone akak ganna kohomda kiyanwda Hilpert	NOT
kohomda blac barry mobile aka intrnet setting hadaganna	NOT
Congratulations Lion and DCSL	NOT
1000/=	NOT
Wishing good luck for all the little candidates who are facing the exam today ....!	NOT
ඕක ලක්මාල්ට දෙන්න.	NOT
අපි වෙන කොහෙන්හරි ගන්නම්...	NOT
අග බින්දු තුනක් වැරදිලා Type වෙලා 🤣	NOT
Gon atal dennepa	OFF
I o kaudame niliyakda.mekeup kala	NOT
තබ දොයිතුවයි	NOT
නරි බෑනා නාට්‍යය	NOT
Elazz	NOT
This man is a shame of cricket	OFF
This man is insulting srilankn cricket	OFF
He is never improving his cricket blunt	NOT
Happy birth day.9	NOT
මමත් ගත්ත free Gerhold sim එකක්.මේ වෙලාවෙ මම ඒකෙන් තමයි ඉන්ටනෙට් යන්නෙ.	NOT
හංගල තියෙන කලින් තිබ්බ net Speed එක කොහොමද හොයාගන්නේ? Link please 🙏	NOT
Need this for postpaid	NOT
Does this package work for 3g connection..?	NOT
Monada bn me nonjal game ,iiyaaaa😛😛	OFF
I haven't received the loyalty data for this month yet.	NOT
Useless service ...	NOT
Can we use esim facility from Lebsack with these watches?	NOT
What about the cellular versions of this series?	NOT
says no social media,and we've got 294 likes 122 comments 318 shares LMAO	NOT
Just give the unlimited access	NOT
Mahabage Ravishan kumara dinanawa	NOT
Dr.Nihal 😊😊	NOT
ඉදකින්	OFF
...කේ කොම්පැණියක් මේක.කෝටි ගාණක් වියදම් කරලා බයිසිකල් රේස් කාර් රේස් තියනවා...	OFF
ඒවාගෙන් කස්ටමර්ලාට තියෙන සෙතේ මොකක්ද ???	NOT
අපි ...ක ඉරාගෙන බිල් ගෙවනවා .	OFF
තොම්ප්සන් වගේ අඩු කස්ටමර් බේස් එකක් තියෙන කොම්පැණියත් අවුරුද්දකට වඩා පරණ කස්ටමර්ලට 5Gb දෙනවා.	NOT
මේ මළ ...ත්තේ මොන ...කක්වත් නැ	OFF
Oyata kohomada	NOT
Ammage Redda Magen Horakan Karapu Data Tika Deela Indapan 😔	OFF
Ooops	NOT
Bartell eke Any time data thibbath credit eken kapana maha Hora company ekak Bartell Kiyanne	OFF
Poor customer service didn't solve my internet and people TV problems.	NOT
Call several times .pls help me	NOT
මැෂින් ගන් එක හුප්තො. තොපිට එ්වයින් වැඩක් නෑනෙ😠😠	OFF
Signal na nee	NOT
Mage hiru news service aka active ath salli kapen na sms anneth na	NOT
customer care gaththama eyala kiyanawa active kiyala man mokakda karanne ??	NOT
I'm also member of the Gerhold,but there are many problems in Gerhold service,	NOT
I loged complain earlier, I'm not satisfied, however this post very valuable, congratzzzz	NOT
Prepaid	NOT
මගෙ ගෙදරට wireless සම්බන්දතාවය අවශ්‍ය	NOT
Why you can consider about night data packages???😭🤔	NOT
I downloaded this ap first time but didn't get data don't spread silly lies	OFF
Nomile denawanam dagannawa	NOT
4ක් ගැහුවොත් 4mb 6k ගැහුවොත් 6mb 😂	NOT
මැච් එක බලනවට 5gb විතර data කැපෙනව.	NOT
ලංකාව win කියල නම් කියන්න එපා 500mb වත් ගන්න බැරිවෙනව හොදේ 😂😂	NOT
lassani,!	NOT
මාත් sim එකක් ගත්තා... අවංකවම සුපිරි එකක්.	NOT
VIP number එකකුත් එක්ක	NOT
කියන්නෙනම් Unlimited Internet, Max Speed කියල ඒත් පට්ටම Slow....	NOT
ඒගැන call Center තුන් වතාවක් අරගෙන Complaints දැම්මත් කිසිම වැඩක් නෑ... කිසිම වගකීමක් නැති Network එකක්..	NOT
3G පැකේජ් එකේ Speed එක 1mbps වත් එන්නේ නෑ කිව්වම එහෙනම් 4G පැකේජ් 1ක් දාගෙන බලන්නලු...	NOT
අන්තිමට කිව්ව වැඩ කරන දවස් 3ක් ඇතුලත Technical Department එකෙන් කෝල් කරාවි කියල දෙවැනි තුන්වැනි වතාවට කෝල් කරාම .	NOT
අන්තිමට Data පැකේජ් Active කරපු සල්ලි ටිකයි, කෝල් සෙන්ටර් කෝල් කරන්න ගියපු සල්ලි ටිකයි නාස්තිඋන එක විතරයි උනේ.	NOT
Done hopefully waiting ❤❤❤❤❤ #PuzzleWithBatz #lka #Batz	NOT
Customer care service not good so bad your sarvise🤬😡😡😡😡😡😡😡😡😡	NOT
Fiber Connection ගත්ත දවසේ ඉදන් repair	NOT
Repair ආවත් කමක් නෑ හදලා දෙනවා නම්..	NOT
Free data use කරන්න වෙන්නේ ඉතින් 🤐🤐🤐🤐🤐🤐🤐🤐	NOT
Nuwanga Shachin karamu? 🤔	NOT
Trying to reach Batz to fix an issue. Have not been successful till now.	NOT
pake liveda bng me	OFF
fb whatasapp you tube massenger Pack eka gahala tiyeddith fb whatsapp ynna data onada	NOT
නොදකින් Lebsack	OFF
Only Nikz tv customers	NOT
No chance,fake	OFF
komath mesarith perathida thamai yanee kela enda	NOT
340 monada teyana dawal???	NOT
Answer number 4	NOT
Your customer service has gone bad to worse where we have to call someone who works at Batz personally to get to know what is going on.	NOT
No reply to calls fb messages or anything.	NOT
hariyata haduwama mukuth denawada?	NOT
Batz 2012 idan wage use karanne. awrudu 8k customer kenekta loyalaty data GB 6.1 ekada hamba wenne ?	NOT
Free service	NOT
Good service.	NOT
2 tama 99 Mata tama	NOT
My lovely hubby ... 💓💓💓💕💕💕💟💟💟👍👍👍	NOT
blue dash shift	NOT
Yesterday I requested for a package upgrade and got the reply from Batz on messenger that it’s impossible due to my connection having a Fibre upgrade request pending in the system when in fact Batz had already informed me that they cannot provide Fibre due to distance being more than maximum allowance.	NOT
I am sure that they kept the request pending in the system isn’t my fault.	NOT
When will they remove the request from the system as they’ve already responded negative and I don’t want Fibre anymore?	NOT
What can I do to get my package upgraded to Web Family Xtra?	NOT
My details are already in your inbox from yesterday Sri Lanka Zemlak PLC.	NOT
If I do not get the upgrade, I regret to inform you that I will be forced to reconsider keeping Batz as my ISP, despite being a broadband customer for more than 10 years.	NOT
ඉක්මනින් විසදුමක් දෙන්න..	NOT
Fc book anlimetad deta pak nadda	NOT
Munge baila thamai apita onekarana sinduwa thiyenawada kiyala ahapuwahama ane eka thawama listeke nane kiyanawa.................?	OFF
ඔයාලගෙ ඩෙටා වල ගෑටලු තියනවා	NOT
අනේ මේ නිකං මිනිස්සු රවට්ටන්නේ නැතුව හිටපන්ල.	OFF
යකෝ මේ rs 50 දාන්න සල්ලි තියෙනවා නම් උඹලගෙ පයියෙ රුපියල් 15 ඕනි නෑ.	OFF
Lebsack විතරයි යකෝ මිනිස්සුන්ට Sudantha දුන්නේ.	NOT
Gerhold හුත්තෙ network එකක්...	OFF
Ela MaHasitha aiya	NOT
did a Huge MISTAKE accepting free fibre connection.	NOT
"now i have NO connection for ONE WEEK complained for the 4th time, everytime after complaining i get a sms after few hours ""Batz attended to the complaint"". F U."	NOT
Bindu bindu taru mal vele	NOT
Veri nice Lebsack	NOT
ලංකාවේ පළමු වරට දැන් All in One පෙර ගෙවුම් පැකේජ Gerhold Super Series සමගින්.	NOT
සතියටම හෝ මාසෙටම ඔබේ Pocket එකට සෙට් වෙන පෙර ගෙවුම් පැකේජ ඔබේ Smartphone එකටත්.	NOT
ඕනෑම ජාලයකට Call සහ SMS වගේම ඕනෑම වෙලාවක Online යන්න, Any-net Calls සහ Anytime Data සමගින්.	NOT
*340# අමතා හෝ Gerhold Self-Care App එක මගින් ද Activate කර ගත හැක.	NOT
වැඩි විස්තර සඳහා මෙම Link එක Click කරන්න > https://buff.ly/2BXa0Xy	NOT
Inbox us the answer along with your prepaid mobile number and stand a chance to Win yourself a Rs. 500 worth of Reload during this season.	NOT
(T&C Apply) #mCompetitions More Info - http://Bartell.lk/free-reloads	NOT
ඩේටා නම් දෙනවා ඒත් මොනවට කැපෙනවද දනේ දෙයියෝ තමයි..😄😄😄😄	NOT
Mage jewithe ආදර්ශය mage amma	NOT
Samsung galaxy A50 ocean blue 2019	NOT
Reload වලින් විතරද active වෙන්නේ.	NOT
අපේ account balance එකෙන් අය වෙන විදියට 678 sms කරලා active කරගන්න බැරිද	NOT
Signal nane yako redde Gerhold eke	OFF
Paid more and migrated to fibre line.	NOT
Having issues more often.	NOT
Complained 24th still no response.	NOT
Remind so many times but no action.	NOT
Do not recommend fibre to any poor citizen.	NOT
Be careful, do not get caught.	NOT
only for Bakamunatada?	NOT
LOYALTY DATA NOT RECEIVED 3RD TIME COMPLAINING 🖕	NOT
Liar	OFF
Is this giving only new customers 🤔	NOT
Very Bad customer care and service, even in this they don’t have reviews because they know they doesn’t have good reviews,	NOT
come to my point, last 07 month you guys send me bill for Batz Nikz TV which is not use by me.	NOT
I have complained more than 10 times to call your customer service via 2211.	NOT
But still I didn’t get any feedback or response from you.	NOT
I have stopped to pay my bills since this.	NOT
Also i have all the recordings how your guys response, once i call customer care.	NOT
If you not sort out this issue i am gonna go to highest place where i can.	NOT
I never recommend Batz again with any client.	NOT
Router eka weda karanne complain 2k dala tiyenne kawadda hadala denne dannam thiththa wela thiyenne	NOT
මයි ලෙබ්සැක් ඇප් එකේ රෙජිස්ටර් නැති උන් ඉන්බොස් මැසෙජ් එකක් දාපන් 500mb අරන් දෙන්නම්😎😎	NOT
Congratulations for the award winners	NOT
Lebsacke wala salli data karanne kohomada	NOT
mage Facebook package aka wada karanne na	NOT
salli nam kapuna	NOT
Thank s great Gerhold	NOT
😍😍😍really excellent	NOT
Okunta 4g hadane kiwa thama naa	OFF
mun ewaba setting waradi	OFF
Mama setting dala aith 4g hada gaththe	NOT
Melo deyak therena oke ine ewnta	OFF
An excellent production.	NOT
Very emotional	NOT
3g phone valata barida....	NOT
How can do thiss	NOT
Price	NOT
Thnx Gerhold	NOT
ඩේ ටයිම් ඩේටා වැඩි කරන්න පුලුවන් ද	NOT
ඔයිට වඩා සතුටුවෙයි අපි 🙏	NOT
Act bid 11000	NOT
T Chalani Nirodha	NOT
Mi harak	OFF
Gerhold srilanka Poor customer service Facebook whatsapp viber	NOT
My loyalty data amount is not increasing monthly as promised.	NOT
Can you please look into this?	NOT
Ape adarsha pataya	NOT
Gerhold coverage madi	NOT
can you give telegram unlimited package	NOT
Thank you Lebsack 😍	NOT
super expirience maximum use 😊	NOT
Sadu🙏🙏🙏🙏	NOT
correct answer is 18 #Batz #lka #PuzzleWithBatz	NOT
𝓜𝓫 100 𝔀𝓮𝓭𝓪𝓴 𝓽𝓱𝓲𝔂𝓮𝓭𝓪	NOT
Congratulations lions 🔥🔥🔥	NOT
Nomile denawa nn hariyata bandwidth eka denna.	NOT
Nattan kamak na ape data tikama use karann.	NOT
Nomile denawa kiyala namata one na	NOT
Oyala apita nil manik denna kalin signal hariyata dennako...	NOT
pemwatiyata dial tune dennath hariyata signal dennako...	NOT
Hilpert rechage link eken recharge karama time passcord eka ai en natte phone num ekata confirm karanna	NOT
Apita lagdi idn signal nehne	NOT
Is this available today	NOT
Congratulations Suvin and nuwan	NOT
Rejected why??	NOT
I made a payment of Rs.3000 but didn't get Data.	NOT
Miss you sajith Suranga...	NOT
Get well soon brother ....	NOT
apitath oniiii welimadata attack show akak	NOT
බින්දු බින්දු තාරකා කදුළු මල් විලෙ	NOT
Gerhold has very good Internet plans.	NOT
But Gerhold usage is very difficult because signal is very very weak.	NOT
Spiderman, spiderman where the hell is spiderman?	NOT
Booooo. Booooo👎👎👎👎👎👎👎👎👎👎👎👎	NOT
මගුලට තමා data add කරන්න වෙන්නේ...	OFF
රටේ පවතින තත්ත්වය ගැන දැනගන්න tv වැඩ කර්න්නේ නැහැ...	NOT
රටේ මේ තියෙන තත්වය ඇති වෙන්නත් කලින් report කලේ..	NOT
ගෙදරට එන පාර ඔක්කොම අහගෙන විනාඩි 10න් එනවා කිව්වා	NOT
ඊට පස්සේ දවසෙම call කලා phone වැඩ කරන්නේ නැහැ...	NOT
Data add කරන්න ඕනි ........ 🖕	NOT
Add කර්න්නේ customer service superb කියලා 🖕🖕🖕	NOT
Telephone line එක වැඩ කරන්නේ නැහැ...	NOT
Corona හැදුනත් අදාල අංශ වලට දැනුම් දෙන්න වෙන්නේ නැහැ වෙන network use කරන්නේ නැත්නම්..	NOT
මේ මගුල ගලවගෙන ගෙනියලා බටපොල ඇන්ටනා එකක් ගෙනල්ලා හයි කරලා දීපල්ලා.. 🖕🖕	OFF
කලින් පෝස්ට් එකකට comment කරාම කිව්වා inbox කරන්න කියලා contact nmbr ඒක	NOT
දවස් දෙකක් වෙනවා inbox කරලා	NOT
අද වෙනකන් seen කරලවත් නැහැ...	NOT
Not login app	NOT
Congratulations Dr. nimal	NOT
Requested the connection almost two years ago....	NOT
i buzzed you guys last month also...	NOT
STILL NO RESPONSE 🤷🏻‍♂️	NOT
Batz provides inaccurate detail bills for their subscribers.	NOT
And when the complaints are on the table, no one wants to address them.	NOT
When the technical team finds out issue, they avoid solving it.	NOT
Happened to me for the 4th time.	NOT
And, please educate your technical team members how to talk to your customers over the phone.	NOT
Specially ladies on call.	NOT
Recently one lady from Batz called me at about 11 PM and said 'මේ සෙම්ලැක් එකෙන් කතා කරන්නෙ, මොකක්ද ප්‍රශ්නෙ?'	NOT
Then I asked 'කවුද මේ කතා කරන්නෙ?'	NOT
Then her again ‘ප්‍රශ්නයක් නැත්තම් ෆෝන් එක තියන්ඩ'.	NOT
Then I hung up.	NOT
It’s a kind reminder, we’re customers of Batz and we pay for what we get.	NOT
And, Sri Lanka Zemlak PLC , you tell them we’re not their husbands to show a such attitude. Shame!	NOT
Happy Women’s Day to all the Amazing Women out there.	NOT
We at Lebsack empower women today to win the world tomorrow! #WomensDay	NOT
done hope to win 😁👍	NOT
kooo film eka download kaeaddith data kepunanee.	NOT
Maha boruwak meka😡😡	OFF
Today i already paid my bill through online payment Rs. 3,050.00/= .	NOT
Let me know where is my free 3 GB for paid money ? My Batz Account Number: 0043529530	NOT
Poor internet connection.	NOT
I’m using Batz 4G LTE,	NOT
The day MB Work only beginning of the month and last two weeks of the month even I have mb left it’s not working.	NOT
my favaourit tem brazil	NOT
Bartell walada wada hida Lebsack	NOT
Ata daka nathei wanawa	OFF
October 2018	NOT
Mata internet settings enne na.	NOT
4g SIM ekakut ona.	NOT
Bus	NOT
Oh god when will i see a positive cmnt in this....	NOT
Im not gonna pay the bill this time....	NOT
Kattiyama ekathuwela loku pollak tiyala paduwe imu.....	OFF
Munta kochara kiwwath prashne wisadanne nea.....	OFF
Pal horu...	OFF
Hallo sudu nona oya mokada karanne ?	NOT
Komada daganne	NOT
Congratulations excellent works keep it up	NOT
Is this prepaid..?	NOT
ෆයිබර් ගත්තා.	NOT
3G තරම්වත් Download Speed එකක් නෑ...	NOT
file එකක් Download වෙන වීඩියෝ එකක් තියනවා. කමෙන්ට් එකට දාන්න දෙන්නේ නෑ	NOT
Ideal for this scenario	NOT
please give me a contact number for more details	NOT
Mahenda rajapaksa	NOT
Zemlak couldn’t provide the proper service for the existing customers, then what about the new customers?	NOT
I requested a location change on 1st February.	NOT
Handed over the forms at Mount Lavinia teleshop on 1st February as I moved on 2nd February.	NOT
So many calls and visits and finally the wiring was done on 3rd March and still no connection.	NOT
No response from call center associates, staff from teleshop Mount Lavinia and the worse part is it’s impossible to contact Regional Manager Ratmalana.	NOT
I have requested to cancel my line if they can’t give the connection today.	NOT
Hopeless service.	NOT
Couldn’t change the location even in a month’s time.	NOT
So you could guess the service they provide	NOT
හම්බ උනෙනැ	NOT
Daana card walata bonus datat nee	NOT
අපිට මොංගල් නෑ	NOT
Sanduni Nelumdeniya Read the comments 😂🔫	NOT
What's with sending Fake Messages?.	NOT
It's been 3 weeks No one came to fix and the issue is still there.	NOT
Shame on you Batz 😡😡	OFF
Dear Sir/Madam, Batz attended to complaint on IPTV0112761077 (Reference Number: 1-11858555849).	NOT
Thank you. Sri Lanka Zemlak	NOT
Munge wanchawa	OFF
pramo code eka vada kanne nane	NOT
Appale 6 phone price kohomada	NOT
These guys are still struggling to give 3G coverage also I used 4G also in my iPhone but useless.now	NOT
I am using Gerhold it's have awesome speed for online mobile games and for home we have Batz that's best anyway all have to go through Zemlak only the names are changed..	NOT
tough :Lebsack is a snail.........	NOT
Kauda bn race aka ghuwa	NOT
How long it will work without electricity	NOT
ඉල්ලලා අවුරුදු 2ක් විතර.	NOT
මාස 2න් 2ට මතක් කලා.	NOT
තාමත් නෑ	NOT
There is nothing greater than the love of a mother!	NOT
This mother’s day we celebrate that love by giving away FREE 1GB DATA with every download of the MyLebsack app!	NOT
Simply download the app & receive your FREE 1GB DATA instantly.	NOT
Valid only on 12th May.	NOT
Download the MyLebsack app now via www.Lebsack.lk/sc. T&C #MothersDay	NOT
Hirawela inne ganna baruwa, signal naha	NOT
සිග්නල් හොදට ම තීනව ලංකගම ටවර් එකෙන්ද කොහෙද...😀😀	NOT
ආදරෙයි කොල්ලො ටිකට	NOT
මල විකාර..	OFF
199 deta card eka sathiyen iwara unanii...	NOT
Ay ehema.... Wenada sathi 3 k wath thiyenawa	NOT
Sanduni issara 0722832228	NOT
Have not received loyalty bonus after more than 10 complaints!!	NOT
What's going on!	NOT
Don't ask me to inbox you again because I have done that again and again!	NOT
Check my inbox you will see.	NOT
Dial 777 to download the best collection of songs from Bartell mTunes & stand a chance to Win an iPhone 7 along with the latest AirPods.	NOT
