,Sentence,Hate_speech,Sentiment,Humor,Billing or price,Customer service,Data,Network,Package,Service or product,None
108,ඔයා ලාගේ නොමල් කෝල් ගන්න කෙමයක් හදන්නකෝ.ලොකු උව්වාක් .අපිට නොමල් කෝල් තමයි ඔනේ.ක්‍රිමයක් ඔනේ.එකටත් මේ වාගේ පැකේජ එක්ක හදුන්නලා දෙන්නකෝ.free call ගන්න ව්දියහ.,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
109,Watermelon = 7 Pineapple = 12 Orange = 6 ÷ 3 = 2 Answer =( 7) + 12% + 2₹ =පුක,Abusive,Neutral,Humorous,0,0,0,0,0,0,1
110,Thama parana ekamai,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
111,Good 💗😃,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
112,Bartell i am really satisfied with your connections.,Not offensive,Positive,Non-humorous,0,0,0,1,0,0,0
113,i get constant 60 MBPS speed every time.proud to have a network like this in SriLanka,Not offensive,Positive,Non-humorous,0,0,1,0,0,0,0
114,Sri Lanka Zemlak PLC no free data has been added to my account so far 😒,Not offensive,Negative,Non-humorous,0,0,1,0,0,0,0
115,Mona hari add ekak dakkama nikan diyan nikan diyan kiyala kagahana rataka mona issarahata yamakda ban 🤣,Not offensive,Negative,Humorous,0,0,0,0,0,0,1
116,Waiting #Gerhold,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
117,අරන් ඕනී අය කියන්න අරන් දෙන්නම්,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
118,Hiiiii,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
119,4G bonus data use karanna bane,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
120,මුන් දැන් හෙන බොරුවක් කරන්නේ.,Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
121,Youtube unlimited කියල 25gb ඉවර උනහම nomal data වලින් කපනව.,Not offensive,Negative,Non-humorous,0,0,1,0,0,0,0
122,එත් එ 25Gb වත් hotspot කරලා යන්න බැ. දවස් 30 යනකන් අලුත් එකක් දාන්නත් බැ.,Not offensive,Negative,Non-humorous,0,0,1,0,0,0,0
123,උන්ට කතාකරහම කියන එවට හිනාත් යනවා.,Not offensive,Neutral,Humorous,0,1,0,0,0,0,0
124,Yakuu.. wi fi walata nadda,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
125,තෙරුවන් සරනයි .,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
126,thanks Lebsack,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
127,"I;m eayimg pes,iyd",Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
128,Merry Christmas!,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
129,#nice🍊 #super🍌 #cute🍇 #top🍍 #osm🍅,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
130,රෑට වැල් බලන්න කියලා හිටියෙ. දැන් ඒකත් නෑ 😑💔,Not offensive,Neutral,Humorous,0,0,0,0,0,0,1
131,4g signal speed madi,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
132,bindu bindu thaaraka kadulu mal vile,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
133,Super song,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
134,"Team Lebsack, Sponsored by Sri Lanka",Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
135,Niyama connection eka,Not offensive,Positive,Non-humorous,0,0,0,1,0,0,0
136,Oh please enough with ur offers.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
137,We don't even get the amount of data that we pay for.,Not offensive,Negative,Non-humorous,0,0,1,0,0,0,0
138,I doubt if you even give half the data Ur packages indicate. Worst service ever.,Not offensive,Negative,Non-humorous,0,0,1,0,0,0,0
139,Wena package thiyanawatha,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
140,packag akata sama masakama data denawada,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
141,YouTube video resolution eka limit krlda thiyenne??,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
142,Saduu,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
143,May his soul Rest In Peace!!!!,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
144,Just pay with eZCash!,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
145,20 Countries #Lebsack,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
146,Need to know more information,Not offensive,Neutral,Non-humorous,0,1,0,0,0,0,0
147,Meet Max 100 GB package aka mn active karala MS Teams walin online lectures hitiya but Data kapila thibbe mg nomal Data package aken ay kelinma Ms Teams & Zoom wg awa use karaddi a Meet Max package aken data kepenne neththe???,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
148,අනිවාර්යයෙන්,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
149,chrome & safari,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
150,Think Like a ‘Tourist’ & Click like a ‘Tourist’ to WIN amazing Prizes!,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
151,Ela kollek,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
152,"As confirmed by Lebsack agent, this facility is not for reload @ reload point....Lebsack foolish all the srilankan",Hate-Inducing,Negative,Non-humorous,0,0,0,0,0,0,1
153,සෝෂල් මීඩිය ෆ්‍රී යකෝ ☝️❤👌 තැන්ක්ස් එස් එල් ටී භොඛ්ඛ...😎,Not offensive,Positive,Humorous,0,0,0,0,0,0,1
154,Mama 4g sim ekak online request kla tama labune nene,Not offensive,Negative,Non-humorous,0,0,0,0,0,1,0
155,System error for me,Not offensive,Negative,Non-humorous,0,0,0,0,0,1,0
156,Purple and red ..,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
157,ru 15 vitharak mak karannada mahaththayo me wage welawaka data ehema free denna oyalata hithenne nadda,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
158,Warun Amashan,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
159,Day Time Night Time wanchawa nawaththala dawaltai raatai apita eka package ekk denndaaa,Abusive,Negative,Non-humorous,0,0,1,0,0,0,0
160,Meke register wenne kohamada,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
161,ගියත් කරල බලන්න...🤔,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
162,Ramiru Dias Bellanvila.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
163,Age 9 A4 paper lanterns,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
164,Yes we also wish.....,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
165,25 😍 #GerholdSriLanka 😍 😘,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
166,website එක හරියට හදල හිටියොත් නරකද -_-,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
167,Gibson nathnm me rate internet kiyala deyak ne,Not offensive,Positive,Non-humorous,0,0,0,1,0,0,0
168,Lebsack signal apita ne,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
169,Bartell slow,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
170,ape rate welath wat aka wadi youtube anthimai,Not offensive,Negative,Non-humorous,0,0,0,0,0,0,1
171,Gerhold hamadama api oba samagai💚💚💚👍☝,Not offensive,Neutral,Non-humorous,0,0,0,1,0,0,0
172,Jim Brown gonna check this out with a few mates in the Rugby community next weekend.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
173,ඩේටා ටිකක් දීපන් යකෝ මේ වෙලාවෙහරි මහලොකුවට ඔව වෙනුවෙන්මයිලු රෙද්ද තමා තොපිට ඩේට ටිකක් දෙන්ඩ බැරිනම් හදිස්සි මෙවගෙ වෙලාවක ආය මොනාද කඩනව තොපේ සිම් හිටපියව්,Abusive,Negative,Non-humorous,0,0,1,0,0,0,0
174,You're forget your illegal billing?,Not offensive,Neutral,Non-humorous,1,0,0,0,0,0,0
175,mb 10 habu wenath vinadi pahk vithara yanawa 😭😭,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
176,Mata lone akak ganna kohomda kiyanwda Hilpert,Not offensive,Neutral,Non-humorous,1,0,0,0,0,0,0
177,kohomda blac barry mobile aka intrnet setting hadaganna,Not offensive,Neutral,Non-humorous,0,1,0,0,0,0,0
178,Congratulations Lion and DCSL,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
179,1000/=,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
180,Wishing good luck for all the little candidates who are facing the exam today ....!,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
181,ඕක ලක්මාල්ට දෙන්න.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
182,අපි වෙන කොහෙන්හරි ගන්නම්...,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
183,අග බින්දු තුනක් වැරදිලා Type වෙලා 🤣,Not offensive,Neutral,Humorous,0,0,0,0,0,0,1
184,Gon atal dennepa,Abusive,Neutral,Non-humorous,0,0,0,0,0,0,1
185,I o kaudame niliyakda.mekeup kala,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
186,තබ දොයිතුවයි,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
187,නරි බෑනා නාට්‍යය,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
188,Elazz,Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
189,This man is a shame of cricket,Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
190,This man is insulting srilankn cricket,Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
191,He is never improving his cricket blunt,Not offensive,Negative,Non-humorous,0,0,0,0,0,0,1
192,Happy birth day.9,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
193,මමත් ගත්ත free Gerhold sim එකක්.මේ වෙලාවෙ මම ඒකෙන් තමයි ඉන්ටනෙට් යන්නෙ.,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
194,හංගල තියෙන කලින් තිබ්බ net Speed එක කොහොමද හොයාගන්නේ? Link please 🙏,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
195,Need this for postpaid,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
196,Does this package work for 3g connection..?,Not offensive,Neutral,Non-humorous,0,0,0,0,1,0,0
197,"Monada bn me nonjal game ,iiyaaaa😛😛",Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
198,I haven't received the loyalty data for this month yet.,Not offensive,Negative,Non-humorous,0,0,1,0,0,0,0
199,Useless service ...,Not offensive,Negative,Non-humorous,0,0,0,0,0,0,1
200,Can we use esim facility from Lebsack with these watches?,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
201,What about the cellular versions of this series?,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
202,"says no social media,and we've got 294 likes 122 comments 318 shares LMAO",Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
203,Just give the unlimited access,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
204,Mahabage Ravishan kumara dinanawa,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
205,Dr.Nihal 😊😊,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
206,ඉදකින්,Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
207,...කේ කොම්පැණියක් මේක.කෝටි ගාණක් වියදම් කරලා බයිසිකල් රේස් කාර් රේස් තියනවා...,Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
208,ඒවාගෙන් කස්ටමර්ලාට තියෙන සෙතේ මොකක්ද ???,Not offensive,Negative,Non-humorous,0,0,0,0,0,0,1
209,අපි ...ක ඉරාගෙන බිල් ගෙවනවා .,Abusive,Neutral,Non-humorous,0,0,0,0,0,0,1
210,තොම්ප්සන් වගේ අඩු කස්ටමර් බේස් එකක් තියෙන කොම්පැණියත් අවුරුද්දකට වඩා පරණ කස්ටමර්ලට 5Gb දෙනවා.,Not offensive,Positive,Non-humorous,0,0,1,0,0,0,0
211,මේ මළ ...ත්තේ මොන ...කක්වත් නැ,Abusive,Negative,Non-humorous,0,0,0,0,0,0,1
212,Oyata kohomada,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
213,Ammage Redda Magen Horakan Karapu Data Tika Deela Indapan 😔,Abusive,Negative,Non-humorous,0,0,1,0,0,0,0
214,Ooops,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
215,Bartell eke Any time data thibbath credit eken kapana maha Hora company ekak Bartell Kiyanne,Hate-Inducing,Negative,Non-humorous,0,0,1,0,0,0,0
216,Poor customer service didn't solve my internet and people TV problems.,Not offensive,Negative,Non-humorous,0,1,0,0,0,0,0
217,Call several times .pls help me,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
218,මැෂින් ගන් එක හුප්තො. තොපිට එ්වයින් වැඩක් නෑනෙ😠😠,Abusive,Neutral,Non-humorous,0,0,0,0,0,0,1
219,Signal na nee,Not offensive,Negative,Non-humorous,0,0,0,1,0,0,0
220,Mage hiru news service aka active ath salli kapen na sms anneth na,Not offensive,Negative,Non-humorous,0,0,0,0,0,1,0
221,customer care gaththama eyala kiyanawa active kiyala man mokakda karanne ??,Not offensive,Neutral,Non-humorous,0,1,0,0,0,0,0
222,"I'm also member of the Gerhold,but there are many problems in Gerhold service,",Not offensive,Negative,Non-humorous,0,0,0,0,0,1,0
223,"I loged complain earlier, I'm not satisfied, however this post very valuable, congratzzzz",Not offensive,Conflict,Non-humorous,0,1,0,0,0,0,0
224,Prepaid,Not offensive,Neutral,Non-humorous,1,0,0,0,0,0,0
225,මගෙ ගෙදරට wireless සම්බන්දතාවය අවශ්‍ය,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
226,Why you can consider about night data packages???😭🤔,Not offensive,Negative,Non-humorous,0,0,0,0,1,0,0
227,I downloaded this ap first time but didn't get data don't spread silly lies,Abusive,Negative,Non-humorous,0,0,1,0,0,0,0
228,Nomile denawanam dagannawa,Not offensive,Neutral,Non-humorous,0,0,0,0,0,0,1
229,4ක් ගැහුවොත් 4mb 6k ගැහුවොත් 6mb 😂,Not offensive,Neutral,Humorous,0,0,1,0,0,0,0
230,මැච් එක බලනවට 5gb විතර data කැපෙනව.,Not offensive,Neutral,Non-humorous,0,0,1,0,0,0,0
231,ලංකාව win කියල නම් කියන්න එපා 500mb වත් ගන්න බැරිවෙනව හොදේ 😂😂,Not offensive,Negative,Humorous,0,0,1,0,0,0,0
232,"lassani,!",Not offensive,Positive,Non-humorous,0,0,0,0,0,0,1
233,මාත් sim එකක් ගත්තා... අවංකවම සුපිරි එකක්.,Not offensive,Positive,Non-humorous,0,0,0,0,0,1,0
234,VIP number එකකුත් එක්ක,Not offensive,Neutral,Non-humorous,0,0,0,0,0,1,0
