post_tokens,toxic_tokens,post_label
"['<user>', 'we', 'were', 'all', 'dykes', 'just', 'confused', 'dykes']","[0, 0, 0, 0, 0, 0, 0, 0]",normal
"['its', 'also', 'how', 'redguards', 'are', 'a', 'vague', 'brown', 'race', 'like', 'all', 'poc', 'are', 'like', 'homogenous', 'sad', 'we', 'cant', 'have', 'latinos']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['oust', 'illegal', 'immigrants', 'new', 'citizenship', 'bill', 'soon', 'amit', 'shah']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'don', '’', 't', 'wanna', 'go', 'to', 'your', 'homophobic', 'fucking', 'prom', 'anyway']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",offensive
"['yes', 'seen', 'this', 'before', 'it', 'shows', 'how', 'devious', 'and', 'really', 'dishonest', 'these', 'fucking', 'moslem', 'shite', 'are']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",hatespeech
"['stupid', 'nigger', 'nazi', 'oh', 'noes', 'don', 't', 'read', 'the', 'vox', 'day', 'blawg', 'nothing', 'to', 'see', 'there', 'pay', 'attention', 'to', 'us', 'as', 'we', 'alienate', 'every', 'normal', 'person', 'we', 'come', 'in', 'contact', 'with', 'stupid', 'nigger', 'nazis', 'need', 'to', 'have', 'their', 'noses', 'rubbed', 'in', 'the', 'turds', 'they', 'leave', 'on', 'the', 'carpets']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'oh', 'that', 'just', 'stinky', 'feet', 'tariq', 'the', 'racist', 'subworm', 'nigger', 'talking']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",hatespeech
"['does', 'it', 'refer', 'to', 'the', 'real', 'jews', 'comparing', 'them', 'to', 'those', 'who', 'call', 'themselves', 'jews', 'today', 'is', 'comparing', 'apples', 'to', 'oranges']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",offensive
"['oh', 'absolutely', 'kelly', 'the', 'nigger', 'is', 'worthless', 'a', 'slur', 'is', 'needed', 'to', 'let', 'them', 'know', 'what', 'their', 'proper', 'place', 'is', 'the', 'nigger', 'wants', 'us', 'dead', 'any', 'white', 'that', 'does', 'not', 'understand', 'this', 'is', 'doomed']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['so', 'if', 'the', 'ghetto', 'clans', 'and', 'angry', 'dumb', 'fems', 'so', 'come', 'over', 'with', 'there', 'muslum', 'terrorist', 'buddies', 'that', 'are', 'equally', 'great', 'appearetly', 'for', 'whatever', 'reason', 'will', 'this', 'site', 'cater', 'to', 'them', 'because', 'they', 'do', 'love', 'a', 'good', 'upsetting', 'it', 'like', 'a', 'happening', 'for', 'them', 'except', 'is', 'it', 'different']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'mislims', 'r', 'brothers', 'to', 'each', 'other', 'rich', 'muslim', 'countries', 'should', 'support', 'poor', 'islamic', 'countries', 'it', 'investment', 'without', 'any', 'loss']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['no', 'it', 'because', 'you', 'are', 'a', 'worthless', 'corrupt', 'racist', 'delusional', 'and', 'dumb', 'as', 'a', 'retarded', 'somalian', 'bitch', 'that', 'why']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",hatespeech
"['i', 'was', 'talking', 'to', 'a', 'co', 'worker', 'about', 'the', 'local', 'takeaway', 'shops', 'and', 'instead', 'of', 'saying', 'maggots', 'i', 'said', 'faggots', 'and', 'i', 'am', 'ready', 'to', 'go', 'kill', 'myself', 'oh', 'my', 'god', 'maddie']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['he', 'a', 'moslem', 'attorney', 'advocating', 'sharia', 'law', 'for', 'sex', 'abuse', 'cases', 'and', 'claims', 'to', 'be', 'a', 'women', 'rights', 'defender', 'translation', 'women', 'will', 'need', '<number>', 'men', 'or', '<number>', 'women', 'as', 'witnesses', 'lgbt', 'do', 'not', 'bother', 'they', 'will', 'kill', 'you', 'punishments', 'range', 'from', 'imprisonment', 'caning', 'stoning', 'to', 'death', 'and', 'beheading', 'of', 'women']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['made', 'a', 'priv', 'so', 'i', 'can', 'call', 'players', 'niggers']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",hatespeech
"['<user>', '<user>', '<user>', 'please', 'do', 'not', 'think', 'i', 'am', 'fighting', 'with', 'you', 'or', 'trying', 'to', 'be', 'rude', 'i', 'am', 'just', 'here', 'to', 'educate', 'people', 'some', 'jews', 'assimilated', 'as', 'white', 'in', 'america', 'but', 'white', 'supremacists', 'are', 'still', 'after', 'us', 'they', 'call', 'white', 'passing', 'jews', 'race', 'infiltrators', 'etc', 'not', 'saying', 'it', 'an', 'excuse']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'ok', 'i', 'admit', 'the', 'tractor', 'looks', 'like', 'a', 'muzzie', 'nuni', 'rest', 'all', '😍']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['twatter', 'is', 'dominated', 'by', 'the', 'regressive', 'left', 'who', 'deal', 'in', 'emotion', 'not', 'logic', 'multiculturalism', 'is', 'a', 'cancer', 'that', 'has', 'brought', 'down', 'civilizations', 'throughout', 'history', 'on', 'gab', 'it', 'okay', 'to', 'be', 'white', 'and', 'okay', 'to', 'speak', 'freely']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['i', 'ate', 'dan', 'because', 'it', 'raped', 'me', 'on', 'minecraft']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['queer', 'eye', 'but', 'it', 'straight', 'people', 'making', 'over', 'gays', 'and', 'it', 'conversion', 'therapy']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'is', 'there', 'any', 'point', 'in', 'replying', 'to', 'this', 'retard', 'i', 'guess', 'not', 'live', 'in', 'your', 'bliss']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",offensive
"['fuck', 'that', 'ghetto', 'bitch', 'she', 'attacked', 'a', 'mother', 'with', 'child', 'by', 'pouring', 'a', 'drink', 'on', 'her', 'and', 'then', 'punching', 'her', 'she', 'punked', 'the', 'mother', 'out', 'in', 'front', 'of', 'her', 'child', 'and', 'in', 'public', 'people', 'who', 'do', 'not', 'know', 'how', 'to', 'behave', 'civilized', 'should', 'not', 'be', 'out', 'in', 'public']","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'stefan', 'molyneux', 'too', 'many', 'gay', 'people', 'stefan', 'molyneux', 'too', 'many', 'women', 'stefan', 'molyneux', 'too', 'many', 'leftists', 'stefan', 'molyneux', 'too', 'many', 'liberals', 'stefan', 'molyneux', 'too', 'many', 'transgender', 'stefan', 'molyneux', 'too', 'many', 'moslems', 'i', 'can', 'continue', 'but', 'that', 'might', 'take', 'a', 'while', 'i', 'am', 'afraid']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['do', 'you', 'think', 'islam', 'will', 'allow', 'the', 'jews', 'to', 'run', 'the', 'show', 'once', 'theyre', '<number>', 'billion', 'of', 'them']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",offensive
"['i', 'smile', 'when', 'i', 'see', 'lgbtq', 'jews', 'same', 'with', 'mudshark', 'jews', 'breed', 'em', 'out', 'of', 'existence', 'the', 'only', 'good', 'jew', 'is', 'a', 'queer', 'jew', 'japs', '❤️', 'bbc']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'issue', 'is', 'the', 'young', 'guys', 'ain', 't', 'playing', 'which', 'is', 'retarded', 'houston', 'has', 'not', 'done', 'shit', 'hunt', 'bigg', 'ass', 'can', 'go', 'stewart', 'needs', 'to', 'sit', 'down', 'mohammed', 'playing', 'way', 'to', 'much', 'and', 'doing', 'nothing']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['a', 'bitch', 'rlly', 'goin', 'thru', 'it']","[0, 1, 0, 0, 0, 0]",offensive
"['deecee', 'faggots', 'panicking', 'over', 'coyote', 'sightings']","[0, 1, 0, 0, 0, 0]",hatespeech
"['beginning', 'october', '1', 'st', 'new', 'york', 'will', 'begin', 'arresting', 'people', 'and', 'fine', 'them', '<money>', 'dollars', 'for', 'using', 'the', 'word', 'illegal', 'alien', 'america', 'will', 'now', 'have', 'american', 'citizens', 'in', 'prison', 'as', 'political', 'prisoners', 'just', 'like', 'communists', 'countries']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['but', 'things', 'are', 'evolving', 'i', 'think', 'they', 'would', 'now', 'look', 'what', 'those', 'blm', 'sheboons', 'did', 'to', 'bernie']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",hatespeech
"['<user>', 'a', 'born', 'again', 'muslim', 'is', 'that', 'like', 'new', 'socialism']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",offensive
"['trump', 'needs', 'to', 'do', 'to', 'robert', 'cialdini', 'what', 'obama', 'did', 'to', 'andrew', 'breitbart', 'the', 'propaganda', 'and', 'the', 'violence', 'it', 'is', 'causing', 'must', 'stop']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['start', 'being', 'gay', 'or', 'else']","[0, 0, 1, 0, 0]",offensive
"['<user>', '<user>', 'oh', 'so', 'when', 'its', 'white', 'men', 'suddenly', 'they', 'all', 'look', 'great', '😡']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['anyway', 'princess', 'sapphire', 'of', 'silverland', 'is', 'a', 'dyke', 'and', 'threw', 'the', 'first', 'brick', 'at', 'stonewall']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",offensive
"['if', 'you', 'are', 'on', 'twitter', 'dot', 'commerce', 'here', 'the', 'racist', 'nigger', 'crying', 'about', 'white', 'women', 'being', 'rayciss', 'on', 'sidewalks']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['go', 'back', 'to', 'your', 'vox', 'cave', 'you', 'gigantic', 'faggot']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",hatespeech
"['<user>', 'some', 'people', 'are', 'just', 'retarded', 'like', 'that']","[0, 0, 0, 0, 0, 1, 0, 0]",offensive
"['this', 'nigga', 'a', 'goat', 'but', 'switched', 'his', 'style', 'four', 'different', 'times', 'sure']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['are', 'you', 'a', 'kike', 'you', 'know', 'making', 'lists', 'is', 'a', 'really', 'kikey', 'thing', 'to', 'do', 'it', 'is', 'one', 'big', 'reason', 'people', 'hate', 'kikes']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",hatespeech
"['<user>', 'by', 'impregnated', 'you', 'mean', 'raped', 'omg']","[0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'some', 'retard', 'already', 'made', 'a', 'like', 'farming', 'meme', 'about', 'him']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['you', 'wanna', 'be', 'asexual', 'inclusive', 'you', 'have', 'to', 'be', 'queer', 'inclusive', 'you', 'wanna', 'be', 'trans', 'and', 'nonbinary', 'inclusive', 'you', 'gotta', 'be', 'queer', 'inclusive', 'hell', 'there', 'are', 'allosexual', 'cis', 'gays', 'bisexuals', 'and', 'lesbians', 'who', 'identify', 'as', 'queer']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['islam', 'is', 'founded', 'on', 'the', 'principle', 'of', 'facilitating', 'good', 'and', 'preventing', 'harm', 'all', 'of', 'its', 'laws', 'revolve', 'around', 'this', 'concept']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['james', 'is', 'ghetto', 'worthless', 'trash']","[0, 0, 1, 0, 0]",offensive
"['lol', 'get', 'a', 'load', 'of', 'this', 'kike']","[0, 0, 0, 0, 0, 0, 1]",hatespeech
"['seriously', '<number>', 'how', 'it', 'is', 'they', 'usually', 'want', 'the', 'office', 'to', 'be', 'hot', 'along', 'with', 'all', 'the', 'brown', 'people', 'us', 'white', 'men', 'like', 'our', 'ac', 'bc', 'we', 'actually', 'work', 'absolute', 'state', 'of', 'the', 'modern', 'workplace']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'bhakts', 'may', 'not', 'agree', 'for', '3', '6', 'crore', 'muslim', 'population']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",offensive
"['<user>', 'i', 'am', 'just', 'sad', 'that', 'i', 'as', 'a', 'white', 'person', 'apparently', 'no', 'longer', 'have', 'the', 'right', 'to', 'trespass', 'a', 'black', 'person', 'domicile', 'and', 'stand', 'my', 'ground', 'and', 'murder', 'them', 'in', 'cold', 'blood', '😢', 'what', 'is', 'this', 'country', 'coming', 'to']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'we', 'have', 'jihadists', 'in', 'our', 'congress', 'squad']","[0, 0, 0, 0, 1, 0, 0, 0, 0]",offensive
"['y', '’', 'all', 'hoes', 'really', 'lurking', '🥴']","[0, 0, 0, 1, 0, 0, 0]",offensive
"['wit', 'a', 'beautiful', 'bitch', 'she', 'chocolate', 'athletic', 'ass', 'poke', 'out', 'like', 'serina', 'asks', 'banks', 'he', 'seen', 'her']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['y', 'know', 'how', 'rich', 'black', 'athletes', 'move', 'from', 'the', 'ghetto', 'into', 'the', 'mansion', 'district', 'and', 'immediately', 'try', 'to', 'turn', 'their', 'new', 'neighborhood', 'into', 'an', 'upscale', 'ghetto', 'that', 'is', 'exactly', 'what', 'the', 'liberals', 'migrating', 'to', 'fl', 'are', 'doing', 'turning', 'it', 'into', 'a', 'purple', 'state', 'go', 'back', 'to', 'your', 'liberal', 'northern', 'shit', 'holes']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",hatespeech
"['a', 'moslem', 'ban', 'from', 'the', 'beginning', 'would', 'have', 'been', 'better']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'lol', 'not', 'surprised', 'at', 'all', 'he', 'will', 'have', 'to', 'wait', 'until', 'after', 'the', 'election', 'if', 'he', 'wins', 'to', 'bring', 'in', 'jihadi', 'jack']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",offensive
"['this', 'is', 'a', 'fucking', 'wild', 'night', 'this', 'is', 'why', 'i', 'hate', 'having', 'adrenaline', 'rushes', 'haldhladslas']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<number>', 'it', 'my', 'birthday', 'this', 'month', 'the', 'supreme', 'court', 'is', 'also', 'hearing', 'an', 'important', 'case', 'starting', '<number>', '<number>', 're', 'if', 'someone', 'can', 'be', 'fired', 'for', 'being', 'lgbtq', 'please', 'do', 'something', 'nice', 'for', 'the', 'queer', 'folx', 'in', 'your', 'life', 'do', 'not', 'have', 'any', 'block', 'and', 'report', 'homophobes', 'on', 'twitter', 'there', 'are', 'plenty']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['east', 'african', 'women', 'tend', 'to', 'look', 'more', 'human', 'too', 'you', 'know', 'you', 'have', 'shitty', 'genetics', 'when', 'getting', 'raped', 'by', 'arabs', 'improves', 'your', 'line', 'mpcstatusupdates']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",hatespeech
"['tell', 'sambo', 'samboeta', 'i', 'said', 'fuck', 'off', 'nigger']","[0, 0, 0, 0, 0, 0, 0, 1]",hatespeech
"['nobody', 'ever', 'gives', 'a', 'fuck', 'about', 'you', 'until', 'you', 'kill', 'yourself']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', '<user>', 'riley', 'you', 'are', 'so', 'retarded', 'just', 'quit', 'your', 'job', 'your', 'parents', 'must', 'be', 'disappointed', 'in', 'having', 'a', 'deluded', 'cunt', 'as', 'a', 'kid']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",offensive
"['a', 'white', 'man', 'callin', 'me', 'brotha', 'is', 'way', 'more', 'offensive', 'than', 'them', 'just', 'callin', 'me', 'a', 'nigger']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['while', 'muslims', 'are', 'pimping', 'and', 'raping', 'white', 'girls', 'jews', 'are', 'promoting', 'all', 'manner', 'of', 'deviant', 'sex', 'through', 'the', 'media', 'jews', 'and', 'muslims', 'in', 'white', 'lands', 'must', 'simply', 'be', 'exterminated', 'and', 'if', 'we', 'were', 'a', 'serious', 'rather', 'than', 'xtian', 'race', 'we', 'would', 'have', 'done', 'it', 'long', 'ago']","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['<user>', 'come', 'here', 'legally', 'and', 'you', 'will', 'not', 'get', 'called', 'an', 'illegal', 'alien', '¯', 'ツ', '¯']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['well', 'shit', 'man', 'mup', 'da', 'doo', 'i', 'would', 'sit', 'here', 'and', 'nigger', 'post', 'back', 'and', 'forth', 'with', 'your', 'dumbass', 'all', 'night', 'but', 'i', 'gotta', 'make', 'bread', 'in', 'the', 'morning']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['house', 'churches', 'are', 'rising', 'up', 'even', 'in', 'spiritually', 'dead', 'atheistic', 'sweden', 'the', 'great', 'message', 'and', 'power', 'of', 'the', 'gospel', 'is', 'unstoppable', 'god', 'unconditional', 'love', 'for', 'us', 'dying', 'for', 'us', 'while', 'we', 'were', 'his', 'enemies', 'is', 'amazing', 'many', 'immigrants', 'are', 'converting', 'in', 'sweden']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
